Dawn,Rise,Noon,Set,Dusk,Night,,,
rgb(186 230 253),rgb(221 214 254),rgb(147 197 253),rgb(249 168 212),rgb(147 197 253),rgb(49 46 129),,,
rgb(254 205 211),rgb(254 205 211),,rgb(253 186 116),,,,,
rgb(129 140 248),rgb(253 186 116),rgb(125 211 252),rgb(254 240 138),rgb(139 92 246),rgb(30 41 59),,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
R,R,R,G,G,G,B,B,B
1,2,3,1,2,3,1,2,3
186,254,129,230,205,140,253,211,248
221,254,186,214,205,186,254,211,116
147,253,221,197,186,211,253,116,252
249,,240,168,,240,212,,138
147,,92,197,,92,253,,246
29,,41,46,,41,129,,59
